timestamp,uuid,worker_name,worker_id,location,rssi
2026-03-03T00:54:47.573142,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-96
2026-03-03T00:54:47.713747,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-96
2026-03-03T00:54:47.908167,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-84
2026-03-03T00:54:48.094971,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-89
2026-03-03T00:54:48.276765,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-89
2026-03-03T00:54:48.401128,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-85
2026-03-03T00:54:48.527067,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-85
2026-03-03T00:54:48.752074,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-85
2026-03-03T00:54:48.911281,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-85
2026-03-03T00:54:49.103379,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-85
2026-03-03T00:54:49.232428,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-85
2026-03-03T00:54:49.416812,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-86
2026-03-03T00:54:49.639789,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-86
2026-03-03T00:54:49.821774,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-86
2026-03-03T00:54:50.053791,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-88
2026-03-03T00:54:50.233127,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:50.346232,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:50.473208,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:50.649633,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-91
2026-03-03T00:54:50.834859,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-91
2026-03-03T00:54:50.981383,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-91
2026-03-03T00:54:51.154851,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-97
2026-03-03T00:54:51.442200,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-97
2026-03-03T00:54:51.664494,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:51.880504,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-94
2026-03-03T00:54:52.001403,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-94
2026-03-03T00:54:52.192561,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-88
2026-03-03T00:54:52.380970,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-88
2026-03-03T00:54:52.603809,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-88
2026-03-03T00:54:52.794701,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:52.924265,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:53.117050,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-91
2026-03-03T00:54:53.328170,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:53.501484,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:53.631188,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-94
2026-03-03T00:54:53.937415,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-94
2026-03-03T00:54:54.058450,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-94
2026-03-03T00:54:54.254251,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-94
2026-03-03T00:54:55.035363,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-92
2026-03-03T00:54:55.293159,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-91
2026-03-03T00:54:55.646605,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-88
2026-03-03T00:54:56.065246,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-88
2026-03-03T00:54:56.465488,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-88
2026-03-03T00:54:56.779606,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-95
2026-03-03T00:54:56.977663,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-95
2026-03-03T00:54:57.398886,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
2026-03-03T00:54:57.622626,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Unknown,N/A,Warehouse_Zone_A,-93
